filename	ipen	jbuf_name	localisation	matched_name	fuzzy_score	query_otol_kingdom	query_otol_phylum	query_otol_class	ATTRIBUTE_query_otol_order	ATTRIBUTE_query_otol_family	ATTRIBUTE_query_otol_genus	ATTRIBUTE_query_otol_species	species	rank	wd_link	ATTRIBUTE_sample_prep_mode
20220513_PMA_DBGI_01_04_001.mzML	XX 0 FRIBG 20100010	Abroma augustum (L.) L. f.	Serre 5	Abroma augustum	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Malvales	fam_Malvaceae	gen_Abroma	sp_Abroma augustum	Abroma augustum	species		liquid_nitrogen
20220513_PMA_DBGI_01_04_002.mzML	XX 0 FRIBG 20050254	Abutilon grandifolium (Willd.) Sweet	Serre 5	Abutilon grandifolium	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Malvales	fam_Malvaceae	gen_Abutilon	sp_Abutilon grandifolium	Abutilon grandifolium	species		liquid_nitrogen
20220513_PMA_DBGI_01_04_004.mzML	XX 0 FRIBG 20040092	Alpinia officinarum Hance	Serre 5	Alpinia officinarum	95	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Zingiberales	fam_Zingiberaceae	gen_Alpinia	sp_Alpinia officinarum	Alpinia officinarum	species	http://www.wikidata.org/entity/Q1281083	liquid_nitrogen
20220513_PMA_DBGI_01_04_007.mzML	XX 0 FRIBG 20140500	Arachis hypogaea L.	Serre 5	Arachis hypogaea	95	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Fabales	fam_Fabaceae	gen_Arachis	sp_Arachis hypogaea	Arachis hypogaea	species	http://www.wikidata.org/entity/Q37383	liquid_nitrogen
20220513_PMA_DBGI_01_04_012.mzML	XX 0 FRIBG 10000741	Boehmeria nivea (L.) Gaudich. s.l.	Serre 5	Boehmeria nivea	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Rosales	fam_Urticaceae	gen_Boehmeria	sp_Boehmeria nivea	Boehmeria nivea	species	http://www.wikidata.org/entity/Q750467	liquid_nitrogen
20220513_PMA_DBGI_01_04_013.mzML	XX 0 FRIBG 19990185	Brahea edulis H. Wendl.	Serre 5	Brahea edulis	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Arecales	fam_Arecaceae	gen_Brahea	sp_Brahea edulis	Brahea edulis	species		liquid_nitrogen
20220513_PMA_DBGI_01_04_016.mzML	XX 0 FRIBG 19950290	Canna indica L.	Serre 5	Canna indica	95	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Zingiberales	fam_Cannaceae	gen_Canna	sp_Canna indica	Canna indica	species	http://www.wikidata.org/entity/Q163559	liquid_nitrogen
20220513_PMA_DBGI_01_04_018.mzML	XX 0 UNKAR 2011-5717	Carica papaya L.	Serre 5	Carica papaya	95	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Brassicales	fam_Caricaceae	gen_Carica	sp_Carica papaya	Carica papaya	species	http://www.wikidata.org/entity/Q34887	liquid_nitrogen
20220513_PMA_DBGI_01_04_019.mzML	XX 0 FRIBG 19890794	Carludovica palmata Ruiz et Pav.	Serre 5	Carludovica palmata	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Pandanales	fam_Cyclanthaceae	gen_Carludovica	sp_Carludovica palmata	Carludovica palmata	species		liquid_nitrogen
20220513_PMA_DBGI_01_04_021.mzML	XX 0 FRIBG 10000288	Catharanthus roseus (L.) G. Don. (rosa)	Serre 5	Catharanthus roseus	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Gentianales	fam_Apocynaceae	gen_Catharanthus	sp_Catharanthus roseus	Catharanthus roseus	species	http://www.wikidata.org/entity/Q161093	liquid_nitrogen
20220513_PMA_DBGI_01_04_023.mzML	XX 0 FRIBG 20030451	Costus afer Ker-Gawl.	Serre 5	Costus afer	90	king_Archaeplastida	phyl_Streptophyta	clas_Magnoliopsida	ord_Zingiberales	fam_Costaceae	gen_Costus	sp_Costus afer	Costus afer	species	http://www.wikidata.org/entity/Q15324975	liquid_nitrogen
