row ID,row m/z,row retention time,20220513_PMA_DBGI_01_04_001.mzML Peak area,20220513_PMA_DBGI_01_04_002.mzML Peak area,20220513_PMA_DBGI_01_04_004.mzML Peak area,20220513_PMA_DBGI_01_04_007.mzML Peak area,20220513_PMA_DBGI_01_04_012.mzML Peak area,20220513_PMA_DBGI_01_04_013.mzML Peak area,20220513_PMA_DBGI_01_04_016.mzML Peak area,20220513_PMA_DBGI_01_04_018.mzML Peak area,20220513_PMA_DBGI_01_04_019.mzML Peak area,20220513_PMA_DBGI_01_04_021.mzML Peak area,20220513_PMA_DBGI_01_04_023.mzML Peak area,20220513_PMA_DBGI_01_04_024.mzML Peak area,20220513_PMA_DBGI_01_04_025.mzML Peak area,20220513_PMA_DBGI_01_04_026.mzML Peak area,20220513_PMA_DBGI_01_04_027.mzML Peak area,20220513_PMA_DBGI_01_04_028.mzML Peak area,20220513_PMA_DBGI_01_04_029.mzML Peak area,20220513_PMA_DBGI_01_04_035.mzML Peak area,20220513_PMA_DBGI_01_04_036.mzML Peak area,20220513_PMA_DBGI_01_04_037.mzML Peak area,20220513_PMA_DBGI_01_04_038.mzML Peak area,20220513_PMA_DBGI_01_04_040.mzML Peak area,20220513_PMA_DBGI_01_04_044.mzML Peak area,20220513_PMA_DBGI_01_04_045.mzML Peak area,20220513_PMA_DBGI_01_04_048.mzML Peak area,20220513_PMA_DBGI_01_04_049.mzML Peak area,20220513_PMA_DBGI_01_04_053.mzML Peak area,20220513_PMA_DBGI_01_04_054.mzML Peak area,20220513_PMA_DBGI_01_04_056.mzML Peak area,20220513_PMA_DBGI_01_04_059.mzML Peak area,20220513_PMA_DBGI_01_04_060.mzML Peak area,20220513_PMA_DBGI_01_04_062.mzML Peak area,20220513_PMA_DBGI_01_04_074.mzML Peak area,20220513_PMA_DBGI_01_04_076.mzML Peak area,20220513_PMA_DBGI_01_04_077.mzML Peak area,20220513_PMA_DBGI_01_04_078.mzML Peak area,20220513_PMA_DBGI_01_04_079.mzML Peak area,20220513_PMA_DBGI_01_04_087.mzML Peak area,20220513_PMA_DBGI_01_11_001.mzML Peak area,20220513_PMA_DBGI_01_11_002.mzML Peak area,20220513_PMA_DBGI_01_11_003.mzML Peak area,20220513_PMA_DBGI_01_11_004.mzML Peak area,20220513_PMA_DBGI_01_11_005.mzML Peak area,20220513_PMA_DBGI_01_11_006.mzML Peak area,20220513_PMA_DBGI_01_11_007.mzML Peak area,20220513_PMA_DBGI_01_11_008.mzML Peak area,20220513_PMA_DBGI_01_11_009.mzML Peak area,20220513_PMA_DBGI_01_11_010.mzML Peak area,20220513_PMA_DBGI_01_11_011.mzML Peak area,20220513_PMA_DBGI_01_11_012.mzML Peak area,20220513_PMA_DBGI_01_11_013.mzML Peak area,20220513_PMA_DBGI_01_11_014.mzML Peak area,20220513_PMA_DBGI_01_11_015.mzML Peak area,20220513_PMA_DBGI_01_11_016.mzML Peak area,20220513_PMA_DBGI_01_11_017.mzML Peak area,20220513_PMA_DBGI_01_11_018.mzML Peak area,20220513_PMA_DBGI_01_11_019.mzML Peak area,20220513_PMA_DBGI_01_11_020.mzML Peak area,20220513_PMA_DBGI_01_11_021.mzML Peak area,20220513_PMA_DBGI_01_11_022.mzML Peak area,20220513_PMA_DBGI_01_11_023.mzML Peak area,20220513_PMA_DBGI_01_11_024.mzML Peak area,20220513_PMA_DBGI_01_11_025.mzML Peak area,20220513_PMA_DBGI_01_11_026.mzML Peak area,20220513_PMA_DBGI_01_11_027.mzML Peak area,20220513_PMA_DBGI_01_11_028.mzML Peak area,20220513_PMA_DBGI_01_11_029.mzML Peak area,20220513_PMA_DBGI_01_11_030.mzML Peak area,20220513_PMA_DBGI_01_11_031.mzML Peak area,20220513_PMA_DBGI_01_11_032.mzML Peak area,20220513_PMA_DBGI_01_11_033.mzML Peak area,20220513_PMA_DBGI_01_11_034.mzML Peak area,20220513_PMA_DBGI_01_11_035.mzML Peak area,20220513_PMA_DBGI_01_11_036.mzML Peak area,20220513_PMA_DBGI_01_11_037.mzML Peak area,20220513_PMA_DBGI_01_11_038.mzML Peak area,20220513_PMA_DBGI_01_11_039.mzML Peak area,20220513_PMA_DBGI_01_11_040.mzML Peak area,20220513_PMA_DBGI_01_11_Ctrl01.mzML Peak area,20220513_PMA_DBGI_01_11_Ctrl01_20220514021041.mzML Peak area,20220513_PMA_DBGI_01_11_Ctrl02.mzML Peak area,20220513_PMA_DBGI_01_11_Ctrl02_20220514022633.mzML Peak area,20220513_PMA_DBGI_01_11_Ctrl03.mzML Peak area,20220513_PMA_DBGI_01_11_Ctrl03_20220514024225.mzML Peak area,
1,305.0868377685547,1.80962525,1.8353170058755252E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8758147677869844E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,143.03390884399414,1.80962525,1.1901156242417128E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1905099793140686E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,279.23189329489685,8.986544465384618,4.4398161033556026E8,8.04894826658777E7,5.978129658428689E7,4.999987052375386E8,5.623708517801594E8,1.6557972754014714E7,3.75289527297946E8,3.691631373338868E8,2.914123696160029E8,3.3390615871693593E8,4.670984046457906E7,5.228312911657757E7,1.0608729226394664E7,3.115161422130212E8,4.2050998165387146E7,6535485.309863639,6.700815515364791E7,4.0647912532369137E8,1.0894962444966109E8,1.471354345007536E8,3.2791649469972912E7,2.134551579959075E8,1.863834857073863E7,2.3240725251576865E8,1.8043094680998567E8,3.53727792634275E7,1.0906304851171221E8,1.141540464531855E8,1770502.3777378413,3.3294579767443277E7,6.848512041275105E7,6.172178491820111E8,3.210959951570375E7,5.749084236860927E7,9303383.180679023,6901101.010766326,1848056.9304022407,2.4412484221229874E7,3.108747441875571E8,5.687927790745848E7,3.191361296984028E7,1.3277266491147193E8,1.4202537278955588E8,4.855406317862212E7,5650842.957206957,7.513324929120658E7,2.209465887942438E7,5.093712747164417E8,9010658.046900528,2.503312796324352E7,1.660535178086662E8,4.777557981671184E7,5.4395525485435225E7,3.854278379223814E7,8.446714333510725E7,3.6241724091823065E8,4.5139926609726936E7,1.1730941647765648E7,5.130769368597318E7,2.9942939835278448E7,1.7366157460288584E7,4.9325749073880345E8,7.027704527064458E7,2.7278998846397627E7,7.270490271715525E7,2490231.545383891,2.3874652617778772E8,7.17275093824575E7,6.994223518157342E7,7.591913913523561E7,3.0707343523319058E7,1.8221526801798996E8,1.3814327531796443E8,704050.0988492231,4.245598876931858E7,1.3041857924388338E7,2.885853336370741E7,2.2876081569506854E8,0,0,0,0,0,0,
4,381.07938208946814,0.6114532623076924,6.189355362377496E8,4.649978980355638E7,1.6227238601903002E9,6.08590538547145E7,1.4109573532545893E9,1.8739985932788682E9,2.200423347323624E9,2.0121217808596869E9,5.14882675116023E8,2.924680096953943E8,1.0979341873626497E9,3.386957565531776E8,9.117447959348993E8,1.2010810515718164E9,1.646003942536878E9,1.6987007366855896E9,6.011915125539032E8,1.786236509879418E8,4.0959086736750656E8,2.0651815788367313E8,4.641535418009322E8,9.945117735716891E7,1.4684855722530112E9,7.375228470256667E8,9.68711010277693E8,1.474932351323807E8,9.775484517330676E8,9.148658456718647E8,9.793079732386144E8,6.496634273787739E7,6.209675810801952E8,4.66319455764322E8,1.151906769804785E9,1.5812988208685436E9,4.128311014539257E8,3.0588449322310653E7,3.577438899766796E8,9.90337022990359E8,4.5750865608951557E8,1.2729982364842816E8,1.3229255544677265E9,1.5301641287248757E9,1.9046633748793347E9,2.0276193319605207E9,9.993311190832765E8,8.186533341656398E8,4.2427682816083215E7,3.7876544854990435E9,1.378673439004241E9,1.1084345574748309E9,9.777419239454112E8,1.309380807876518E9,1.5606066606059008E9,7.056668878041906E8,4.172335201964973E8,2.4055115819745022E8,4.3768812800243384E8,3.117692539499266E8,1.0781836998618312E8,1.6627765912142003E9,3.9307409551723033E8,7.74204812996448E8,2.448618982551524E9,1.1553675009307697E9,1.5575757532333314E9,3.1634295858473074E8,1.413810239607482E8,1.142846645638654E9,3.3592769223762745E8,3.8103681866627636E9,3.56006188017976E7,3.3106314320771683E7,1.395698981938733E8,1.845649470535158E8,2.7868568233175457E8,1.355813852800711E9,9.875684520710546E8,3.0354937894646853E8,0,0,0,0,0,0,
5,219.02646353305914,0.5885834116666667,4.952138657909455E8,6.0965240204574004E7,2.2300875941244885E8,9.745666244174217E8,4.8416537848396224E8,6.643207444146997E8,8.489445245488611E8,3.826355678139E8,5.97710949043784E8,6.980898099669698E8,9.412393964635139E8,1.01945868929884E9,4.600497230317804E8,1.0716969860820128E9,6.074543227611716E8,3.144355090960857E8,5.534206711065223E7,2.4523528416406016E9,8.917718498532529E8,1.883923097453069E8,4.515386853891459E8,3.9010908664644614E7,5.649972000727392E8,5.008242207920819E7,3.089982375701299E8,8.971384282336423E8,4.6971146893868876E8,2.9849222753660285E8,1.3746128261747561E7,1.20684320570927E8,1.643397640294491E8,3.0372543046768785E8,3.855074538980914E8,6.602538073942459E8,7.45269413972482E8,4.4384465845724434E8,2.610695951086881E8,1.959790860476286E8,2.3572698661888576E8,5.5805421935308106E7,1.7841903642003053E8,1.0699430653145292E8,3.2138332483098334E8,4.511168472868122E8,2.5281103134646344E8,1.3350348168016806E8,9.17247922669826E7,3.5557614577514654E8,6.730730695970893E8,4.3908508555149573E8,6.275913015648811E8,1.9180756291913566E8,3.406271986962607E8,4.479586109512736E7,3.122565823135952E8,2.882353360573116E8,1.896245872882915E8,2.7444112000666344E8,1.255224599134851E7,6.648405070100778E8,1.5320831497875893E7,8.011352826513799E7,5.0924714566942185E8,5.388067745079175E8,4.859043063287443E8,5.5919462752172984E7,8.261173171120417E7,2.794577876522936E7,9.246793879612814E7,1.8186947858901352E8,1.949577582774875E7,4.743422140682616E7,1.3620785576045543E8,5.768721491941237E7,5.164035462712246E7,5.287186569308348E8,1.854417184860491E8,3.907459621455587E7,0,0,0,0,0,0,
6,451.1236877441406,3.6470318500000003,1.6521731584209892E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.163095338193527E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,166.08621939126547,1.6170847337662333,2.4398034026192358E8,2.2317426591599274E7,5.9875639576425605E7,3.900494069239306E8,7.795550524413551E7,1.443492131007004E7,3.4755737170092815E8,7.031058986091491E8,2.49543245533055E8,6.089462192412346E7,2.5808800097768128E7,2.0926256643940322E7,0,2.936279424103087E7,9.302484134792869E7,2.5641986529839493E7,5.1004613551640525E7,2.9228790764648672E7,1.9643300576594934E8,4.3263575631992936E7,3.685825370595488E8,8.331900045293118E7,7333617.394883252,7.163983143471819E7,4.161409614063565E8,5.502432781367744E7,2.955919584116065E7,1.761301512116983E7,3.1287832858778E7,7271149.506650447,2.277353147169299E7,6.672683268377981E7,8.692183820723142E7,8.961188766139472E7,3.031348811145866E8,2.2515848406915784E8,2.962854418863985E7,2.9921398865059502E7,3.1234821036644382E9,3.116826481494336E8,2.721681027220296E7,1.2801748709244452E9,1.1649262658391708E8,5694033.483692257,9.08445467494969E7,5.318823382499145E8,1.487335574448264E7,5369910.174600766,2.0644758870437822E8,2.051303220827983E7,4.4123279756425396E7,2.7155336691195893E8,7.288742798583725E7,6.832350019682333E7,4731657.933334887,1.0796641677724274E8,3.717313812498653E8,4.636006358338546E7,3.0078843900961643E8,8146759.038785221,1.1315078142514779E8,1.1015640704403236E9,3.1205847738073267E7,3.604620464478995E7,7.200393382286315E7,1.0592348034316286E7,1.0741331281907023E8,8.232754721721567E7,4.1130252953943853E9,1.4497134020399117E8,5.294954362852576E7,8.313634195280184E7,1.489034530378876E7,5.1636712750996575E7,4.901776070981158E7,1.638365047724916E8,3.825858571556618E7,8486517.90960882,0,0,0,0,0,0,
9,350.1447219848633,1.80962525,2.7323212754305506E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0365371135537896E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,451.1237487792969,3.5067069999999996,1.2435631538461548E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.658160467285957E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,420.1865363487831,2.613244592307692,1.1345122226351833E8,0,0,0,7779426.088934399,0,0,5.183471180194907E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7875574717494324E7,0,0,0,0,0,9405652.331583988,0,0,0,0,0,0,1.0958314340841754E8,0,0,0,0,0,0,8.337164053958985E7,0,2.3652942051324047E7,0,0,0,0,0,0,0,0,8.95503544744124E7,0,1.4533239036146976E7,0,0,0,1.0279895145604903E8,0,0,0,0,3993422.074979636,0,2.6223335159315895E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
